B27.12,Cytomegaloviral mononucleosis with meningitis
A63.8,Other specified predominantly sexually transmitted diseases
A83.9,"Mosquito-borne viral encephalitis, unspecified"
A83.8,Other mosquito-borne viral encephalitis
A83.5,California encephalitis
A83.4,Australian encephalitis
A63.0,Anogenital (venereal) warts
A83.1,Western equine encephalitis
A83.0,Japanese encephalitis
A83.3,St Louis encephalitis
A83.2,Eastern equine encephalitis
A85.2,"Arthropod-borne viral encephalitis, unspecified"
A49.9,"Bacterial infection, unspecified"
A49.8,Other bacterial infections of unspecified site
A99,Unspecified viral hemorrhagic fever
A94,Unspecified arthropod-borne viral fever
A49.3,"Mycoplasma infection, unspecified site"
A49.2,"Hemophilus influenzae infection, unspecified site"
A49.1,"Streptococcal infection, unspecified site"
A85.8,Other specified viral encephalitis
A91,Dengue hemorrhagic fever
A90,Dengue fever [classical dengue]
B60.0,Babesiosis
B72,Dracunculiasis
A56.00,"Chlamydial infection of lower genitourinary tract, unspecified"
A56.01,Chlamydial cystitis and urethritis
A56.02,Chlamydial vulvovaginitis
B26.89,Other mumps complications
B79,Trichuriasis
B26.84,Mumps polyneuropathy
B26.85,Mumps arthritis
B26.82,Mumps myocarditis
A56.09,Other chlamydial infection of lower genitourinary tract
B60.19,Other acanthamebic disease
B26.81,Mumps hepatitis
A43.1,Cutaneous nocardiosis
A43.0,Pulmonary nocardiosis
A43.9,"Nocardiosis, unspecified"
A43.8,Other forms of nocardiosis
A59.8,Trichomoniasis of other sites
A59.9,"Trichomoniasis, unspecified"
A87.2,Lymphocytic choriomeningitis
B41.9,"Paracoccidioidomycosis, unspecified"
A71.9,"Trachoma, unspecified"
A87.9,"Viral meningitis, unspecified"
A60.04,Herpesviral vulvovaginitis
B02.24,Postherpetic myelitis
B51.9,Plasmodium vivax malaria without complication
B02.22,Postherpetic trigeminal neuralgia
B02.23,Postherpetic polyneuropathy
A71.0,Initial stage of trachoma
A71.1,Active stage of trachoma
A54.24,Gonococcal female pelvic inflammatory disease
B94.9,Sequelae of unspecified infectious and parasitic disease
A54.21,Gonococcal infection of kidney and ureter
A54.22,Gonococcal prostatitis
A54.23,Gonococcal infection of other male genital organs
B99.9,Unspecified infectious disease
B60.13,Keratoconjunctivitis due to Acanthamoeba
A54.29,Other gonococcal genitourinary infections
B10.89,Other human herpesvirus infection
B60.12,Conjunctivitis due to Acanthamoeba
A01.00,"Typhoid fever, unspecified"
A01.01,Typhoid meningitis
A01.02,Typhoid fever with heart involvement
A01.03,Typhoid pneumonia
A01.04,Typhoid arthritis
A01.05,Typhoid osteomyelitis
B66.9,"Fluke infection, unspecified"
A01.09,Typhoid fever with other complications
B69.89,Cysticercosis of other sites
B60.10,"Acanthamebiasis, unspecified"
B74.3,Loiasis
B17.0,Acute delta-(super) infection of hepatitis B carrier
B94.2,Sequelae of viral hepatitis
B69.81,Myositis in cysticercosis
A81.9,"Atypical virus infection of central nervous system, unspecified"
B68.0,Taenia solium taeniasis
B17.2,Acute hepatitis E
A81.2,Progressive multifocal leukoencephalopathy
A81.1,Subacute sclerosing panencephalitis
B30.9,"Viral conjunctivitis, unspecified"
B94.1,Sequelae of viral encephalitis
A50.32,Late congenital syphilitic chorioretinitis
A50.31,Late congenital syphilitic interstitial keratitis
A50.30,"Late congenital syphilitic oculopathy, unspecified"
B42.81,Cerebral sporotrichosis
A50.39,Other late congenital syphilitic oculopathy
B26.83,Mumps nephritis
B39.1,Chronic pulmonary histoplasmosis capsulati
B88.1,Tungiasis [sandflea infestation]
A32.82,Listerial endocarditis
B46.9,"Zygomycosis, unspecified"
A32.81,Oculoglandular listeriosis
B46.5,"Mucormycosis, unspecified"
B46.4,Disseminated mucormycosis
B46.3,Cutaneous mucormycosis
A54.40,"Gonococcal infection of musculoskeletal system, unspecified"
B46.1,Rhinocerebral mucormycosis
A32.89,Other forms of listeriosis
B35.9,"Dermatophytosis, unspecified"
B30.0,Keratoconjunctivitis due to adenovirus
B44.7,Disseminated aspergillosis
B08.8,Other specified viral infections characterized by skin and mucous membrane lesions
B44.1,Other pulmonary aspergillosis
B44.0,Invasive pulmonary aspergillosis
B30.1,Conjunctivitis due to adenovirus
A77.8,Other spotted fevers
A77.9,"Spotted fever, unspecified"
B42.1,Lymphocutaneous sporotrichosis
B42.0,Pulmonary sporotrichosis
B42.7,Disseminated sporotrichosis
B30.2,Viral pharyngoconjunctivitis
A77.0,Spotted fever due to Rickettsia rickettsii
A77.1,Spotted fever due to Rickettsia conorii
A77.2,Spotted fever due to Rickettsia siberica
A54.41,Gonococcal spondylopathy
B08.20,"Exanthema subitum [sixth disease], unspecified"
B08.21,Exanthema subitum [sixth disease] due to human herpesvirus 6
B08.22,Exanthema subitum [sixth disease] due to human herpesvirus 7
B06.9,Rubella without complication
A37.90,"Whooping cough, unspecified species without pneumonia"
A37.91,"Whooping cough, unspecified species with pneumonia"
B33.22,Viral myocarditis
B33.23,Viral pericarditis
B33.20,"Viral carditis, unspecified"
B33.21,Viral endocarditis
B33.24,Viral cardiomyopathy
A54.42,Gonococcal arthritis
B97.31,Lentivirus as the cause of diseases classified elsewhere
A54.43,Gonococcal osteomyelitis
B40.1,Chronic pulmonary blastomycosis
B40.0,Acute pulmonary blastomycosis
B40.3,Cutaneous blastomycosis
B40.2,"Pulmonary blastomycosis, unspecified"
A52.9,"Late syphilis, unspecified"
B40.7,Disseminated blastomycosis
B40.9,"Blastomycosis, unspecified"
B00.89,Other herpesviral infection
A52.8,"Late syphilis, latent"
B88.2,Other arthropod infestations
B40.81,Blastomycotic meningoencephalitis
B76.0,Ancylostomiasis
B76.1,Necatoriasis
B40.89,Other forms of blastomycosis
B97.32,Oncovirus as the cause of diseases classified elsewhere
B76.8,Other hookworm diseases
B74.2,Filariasis due to Brugia timori
B27.01,Gammaherpesviral mononucleosis with polyneuropathy
A87.1,Adenoviral meningitis
A08.39,Other viral enteritis
B26.1,Mumps meningitis
A27.89,Other forms of leptospirosis
B26.3,Mumps pancreatitis
A87.0,Enteroviral meningitis
A08.32,Astrovirus enteritis
A08.31,Calicivirus enteritis
B26.9,Mumps without complication
A27.81,Aseptic meningitis in leptospirosis
A52.2,Asymptomatic neurosyphilis
A59.01,Trichomonal vulvovaginitis
A59.00,"Urogenital trichomoniasis, unspecified"
A59.03,Trichomonal cystitis and urethritis
A59.02,Trichomonal prostatitis
A37.01,Whooping cough due to Bordetella pertussis with pneumonia
A37.00,Whooping cough due to Bordetella pertussis without pneumonia
A59.09,Other urogenital trichomoniasis
B44.89,Other forms of aspergillosis
B20,Human immunodeficiency virus [HIV] disease
B08.03,Pseudocowpox [milker's node]
B74.4,Mansonelliasis
B74.0,Filariasis due to Wuchereria bancrofti
B74.1,Filariasis due to Brugia malayi
B02.9,Zoster without complications
B02.8,Zoster with other complications
B01.12,Varicella myelitis
B01.11,Varicella encephalitis and encephalomyelitis
B74.8,Other filariases
B74.9,"Filariasis, unspecified"
B02.1,Zoster meningitis
B02.0,Zoster encephalitis
A52.71,Late syphilitic oculopathy
A52.73,Symptomatic late syphilis of other respiratory organs
A52.72,Syphilis of lung and bronchus
A52.75,Syphilis of kidney and ureter
A52.74,Syphilis of liver and other viscera
A52.77,Syphilis of bone and joint
A52.76,Other genitourinary symptomatic late syphilis
A52.79,Other symptomatic late syphilis
A52.78,Syphilis of other musculoskeletal tissue
B00.7,Disseminated herpesviral disease
A60.01,Herpesviral infection of penis
A60.00,"Herpesviral infection of urogenital system, unspecified"
A60.03,Herpesviral cervicitis
A60.02,Herpesviral infection of other male genital organs
A95.9,"Yellow fever, unspecified"
B50.8,Other severe and complicated Plasmodium falciparum malaria
B50.9,"Plasmodium falciparum malaria, unspecified"
B39.0,Acute pulmonary histoplasmosis capsulati
A95.0,Sylvatic yellow fever
A95.1,Urban yellow fever
B50.0,Plasmodium falciparum malaria with cerebral complications
B39.3,Disseminated histoplasmosis capsulati
A46,Erysipelas
B58.3,Pulmonary toxoplasmosis
B39.2,"Pulmonary histoplasmosis capsulati, unspecified"
A42.89,Other forms of actinomycosis
B45.3,Osseous cryptococcosis
A93.8,Other specified arthropod-borne viral fevers
B02.21,Postherpetic geniculate ganglionitis
A42.81,Actinomycotic meningitis
B58.09,Other toxoplasma oculopathy
A93.0,Oropouche virus disease
A42.82,Actinomycotic encephalitis
B58.83,Toxoplasma tubulo-interstitial nephropathy
B97.30,Unspecified retrovirus as the cause of diseases classified elsewhere
B10.82,Human herpesvirus 7 infection
B10.81,Human herpesvirus 6 infection
B58.82,Toxoplasma myositis
B48.8,Other specified mycoses
B48.1,Rhinosporidiosis
B48.0,Lobomycosis
B48.3,Geotrichosis
B48.2,Allescheriasis
B48.4,Penicillosis
B88.8,Other specified infestations
A33,Tetanus neonatorum
B37.7,Candidal sepsis
B58.81,Toxoplasma myocarditis
A35,Other tetanus
A34,Obstetrical tetanus
B37.5,Candidal meningitis
B60.11,Meningoencephalitis due to Acanthamoeba (culbertsoni)
B06.02,Rubella meningitis
B71.0,Hymenolepiasis
B66.1,Clonorchiasis
B36.8,Other specified superficial mycoses
A18.89,Tuberculosis of other sites
B66.0,Opisthorchiasis
A18.82,Tuberculosis of other endocrine glands
A18.83,"Tuberculosis of digestive tract organs, not elsewhere classified"
B36.0,Pityriasis versicolor
A18.81,Tuberculosis of thyroid gland
B66.3,Fascioliasis
A18.84,Tuberculosis of heart
A18.85,Tuberculosis of spleen
B08.5,Enteroviral vesicular pharyngitis
B08.4,Enteroviral vesicular stomatitis with exanthem
A09,"Infectious gastroenteritis and colitis, unspecified"
B08.1,Molluscum contagiosum
A30.9,"Leprosy, unspecified"
A50.09,"Other early congenital syphilis, symptomatic"
A50.06,Early cutaneous congenital syphilis
A50.07,Early mucocutaneous congenital syphilis
A50.04,Early congenital syphilitic pneumonia
A50.05,Early congenital syphilitic rhinitis
A50.02,Early congenital syphilitic osteochondropathy
A30.2,Borderline tuberculoid leprosy
A30.1,Tuberculoid leprosy
A30.0,Indeterminate leprosy
A32.9,"Listeriosis, unspecified"
A32.7,Listerial sepsis
A32.0,Cutaneous listeriosis
B16.0,Acute hepatitis B with delta-agent with hepatic coma
B16.1,Acute hepatitis B with delta-agent without hepatic coma
B16.2,Acute hepatitis B without delta-agent with hepatic coma
B66.8,Other specified fluke infections
B16.9,Acute hepatitis B without delta-agent and without hepatic coma
B97.5,Reovirus as the cause of diseases classified elsewhere
A52.09,Other cardiovascular syphilis
B78.7,Disseminated strongyloidiasis
A54.83,Gonococcal heart infection
A52.00,"Cardiovascular syphilis, unspecified"
A52.01,Syphilitic aneurysm of aorta
A52.02,Syphilitic aortitis
A52.03,Syphilitic endocarditis
A52.04,Syphilitic cerebral arteritis
A52.05,Other cerebrovascular syphilis
A52.06,Other syphilitic heart involvement
B65.2,Schistosomiasis due to Schistosoma japonicum
B36.9,"Superficial mycosis, unspecified"
A74.81,Chlamydial peritonitis
B96.3,Hemophilus influenzae [H. influenzae] as the cause of diseases classified elsewhere
A36.1,Nasopharyngeal diphtheria
A36.0,Pharyngeal diphtheria
A36.3,Cutaneous diphtheria
A36.2,Laryngeal diphtheria
B38.0,Acute pulmonary coccidioidomycosis
B38.1,Chronic pulmonary coccidioidomycosis
B38.2,"Pulmonary coccidioidomycosis, unspecified"
B08.72,Yaba pox virus disease
A36.9,"Diphtheria, unspecified"
A54.85,Gonococcal peritonitis
B38.9,"Coccidioidomycosis, unspecified"
B36.2,White piedra
B77.0,Ascariasis with intestinal complications
B08.010,Cowpox
B08.011,Vaccinia not from vaccine
A38.1,Scarlet fever with myocarditis
A38.0,Scarlet fever with otitis media
B78.0,Intestinal strongyloidiasis
B78.1,Cutaneous strongyloidiasis
B08.69,Other parapoxvirus infections
A38.9,"Scarlet fever, uncomplicated"
A38.8,Scarlet fever with other complications
B36.1,Tinea nigra
A86,Unspecified viral encephalitis
B68.1,Taenia saginata taeniasis
A89,Unspecified viral infection of central nervous system
B99.8,Other infectious disease
B27.99,"Infectious mononucleosis, unspecified with other complication"
B56.9,"African trypanosomiasis, unspecified"
B56.0,Gambiense trypanosomiasis
B56.1,Rhodesiense trypanosomiasis
A56.11,Chlamydial female pelvic inflammatory disease
B57.32,Megacolon in Chagas' disease
A56.19,Other chlamydial genitourinary infection
B57.30,"Chagas' disease with digestive system involvement, unspecified"
B49,Unspecified mycosis
B27.92,"Infectious mononucleosis, unspecified with meningitis"
B68.9,"Taeniasis, unspecified"
A56.3,Chlamydial infection of anus and rectum
A56.2,"Chlamydial infection of genitourinary tract, unspecified"
B02.39,Other herpes zoster eye disease
A50.08,Early visceral congenital syphilis
A56.4,Chlamydial infection of pharynx
B02.34,Zoster scleritis
A30.8,Other forms of leprosy
B02.31,Zoster conjunctivitis
B02.30,"Zoster ocular disease, unspecified"
B02.33,Zoster keratitis
B02.32,Zoster iridocyclitis
A22.2,Gastrointestinal anthrax
A54.32,Gonococcal iridocyclitis
A22.0,Cutaneous anthrax
A22.1,Pulmonary anthrax
A22.7,Anthrax sepsis
A22.8,Other forms of anthrax
A22.9,"Anthrax, unspecified"
A30.5,Lepromatous leprosy
B42.89,Other forms of sporotrichosis
A20.0,Bubonic plague
A20.1,Cellulocutaneous plague
A20.2,Pneumonic plague
A20.3,Plague meningitis
B00.82,Herpes simplex myelitis
B52.9,Plasmodium malariae malaria without complication
A20.7,Septicemic plague
A20.8,Other forms of plague
A20.9,"Plague, unspecified"
B60.8,Other specified protozoal diseases
A50.03,Early congenital syphilitic pharyngitis
B52.8,Plasmodium malariae malaria with other complications
A26.7,Erysipelothrix sepsis
A26.0,Cutaneous erysipeloid
B57.49,Other nervous system involvement in Chagas' disease
B52.0,Plasmodium malariae malaria with nephropathy
B73.01,Onchocerciasis with endophthalmitis
B73.02,Onchocerciasis with glaucoma
A50.01,Early congenital syphilitic oculopathy
B57.42,Meningoencephalitis in Chagas' disease
A26.8,Other forms of erysipeloid
A26.9,"Erysipeloid, unspecified"
A50.42,Late congenital syphilitic encephalitis
A50.43,Late congenital syphilitic polyneuropathy
A50.40,"Late congenital neurosyphilis, unspecified"
A50.41,Late congenital syphilitic meningitis
A50.44,Late congenital syphilitic optic nerve atrophy
A50.45,Juvenile general paresis
A50.49,Other late congenital neurosyphilis
B67.7,"Echinococcus multilocularis infection, unspecified"
B30.8,Other viral conjunctivitis
A51.31,Condyloma latum
A51.32,Syphilitic alopecia
B18.9,"Chronic viral hepatitis, unspecified"
B77.9,"Ascariasis, unspecified"
B18.2,Chronic viral hepatitis C
A51.39,Other secondary syphilis of skin
B18.0,Chronic viral hepatitis B with delta-agent
B18.1,Chronic viral hepatitis B without delta-agent
A92.31,West Nile virus infection with encephalitis
A92.30,"West Nile virus infection, unspecified"
A18.39,Retroperitoneal tuberculosis
A92.32,West Nile virus infection with other neurologic manifestation
A24.0,Glanders
A24.1,Acute and fulminating melioidosis
A24.2,Subacute and chronic melioidosis
A24.3,Other melioidosis
A92.39,West Nile virus infection with other complications
A18.32,Tuberculous enteritis
A18.31,Tuberculous peritonitis
A52.3,"Neurosyphilis, unspecified"
A24.9,"Melioidosis, unspecified"
B36.3,Black piedra
A54.49,Gonococcal infection of other musculoskeletal tissue
B58.01,Toxoplasma chorioretinitis
B58.00,"Toxoplasma oculopathy, unspecified"
A50.9,"Congenital syphilis, unspecified"
B91,Sequelae of poliomyelitis
A50.7,"Late congenital syphilis, unspecified"
A50.6,"Late congenital syphilis, latent"
A50.1,"Early congenital syphilis, latent"
A50.2,"Early congenital syphilis, unspecified"
B97.39,Other retrovirus as the cause of diseases classified elsewhere
A00.9,"Cholera, unspecified"
B27.10,Cytomegaloviral mononucleosis without complications
A84.0,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]
A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae"
A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor"
A37.81,Whooping cough due to other Bordetella species with pneumonia
A37.80,Whooping cough due to other Bordetella species without pneumonia
B88.3,External hirudiniasis
B67.1,Echinococcus granulosus infection of lung
A08.2,Adenoviral enteritis
A08.0,Rotaviral enteritis
A08.4,"Viral intestinal infection, unspecified"
A08.8,Other specified intestinal infections
B97.35,"Human immunodeficiency virus, type 2 [HIV 2] as the cause of diseases classified elsewhere"
B27.11,Cytomegaloviral mononucleosis with polyneuropathy
B97.34,"Human T-cell lymphotrophic virus, type II [HTLV-II] as the cause of diseases classified elsewhere"
B97.33,"Human T-cell lymphotrophic virus, type I [HTLV-I] as the cause of diseases classified elsewhere"
B67.2,Echinococcus granulosus infection of bone
A60.1,Herpesviral infection of perianal skin and rectum
B34.8,Other viral infections of unspecified site
B34.9,"Viral infection, unspecified"
B42.82,Sporotrichosis arthritis
A84.8,Other tick-borne viral encephalitis
A74.0,Chlamydial conjunctivitis
B34.0,"Adenovirus infection, unspecified"
B34.1,"Enterovirus infection, unspecified"
B34.2,"Coronavirus infection, unspecified"
A84.9,"Tick-borne viral encephalitis, unspecified"
B34.4,"Papovavirus infection, unspecified"
A74.9,"Chlamydial infection, unspecified"
B27.91,"Infectious mononucleosis, unspecified with polyneuropathy"
A40.3,Sepsis due to Streptococcus pneumoniae
A40.0,"Sepsis due to streptococcus, group A"
A40.1,"Sepsis due to streptococcus, group B"
B46.8,Other zygomycoses
B86,Scabies
A40.8,Other streptococcal sepsis
A40.9,"Streptococcal sepsis, unspecified"
B03,Smallpox
B04,Monkeypox
B82.0,"Intestinal helminthiasis, unspecified"
B09,Unspecified viral infection characterized by skin and mucous membrane lesions
B44.9,"Aspergillosis, unspecified"
A18.2,Tuberculous peripheral lymphadenopathy
A18.4,Tuberculosis of skin and subcutaneous tissue
A18.7,Tuberculosis of adrenal glands
A18.6,Tuberculosis of (inner) (middle) ear
B96.20,Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere
B37.6,Candidal endocarditis
A87.8,Other viral meningitis
B97.7,Papillomavirus as the cause of diseases classified elsewhere
A66.8,Latent yaws
A66.9,"Yaws, unspecified"
B57.31,Megaesophagus in Chagas' disease
B67.99,Other echinococcosis
A66.2,Other early skin lesions of yaws
A66.3,Hyperkeratosis of yaws
A66.0,Initial lesions of yaws
A66.1,Multiple papillomata and wet crab yaws
A66.6,Bone and joint lesions of yaws
A66.7,Other manifestations of yaws
A66.4,Gummata and ulcers of yaws
A66.5,Gangosa
B17.9,"Acute viral hepatitis, unspecified"
B96.0,Mycoplasma pneumoniae [M. pneumoniae] as the cause of diseases classified elsewhere
B96.1,Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified elsewhere
B44.2,Tonsillar aspergillosis
B17.11,Acute hepatitis C with hepatic coma
B17.10,Acute hepatitis C without hepatic coma
B96.6,Bacteroides fragilis [B. fragilis] as the cause of diseases classified elsewhere
B96.7,Clostridium perfringens [C. perfringens] as the cause of diseases classified elsewhere
A52.17,General paresis
A44.0,Systemic bartonellosis
A44.1,Cutaneous and mucocutaneous bartonellosis
B90.8,Sequelae of tuberculosis of other organs
A52.16,Charcôt's arthropathy (tabetic)
B96.23,Unspecified Shiga toxin-producing Escherichia coli [E. coli] (STEC) as the cause of diseases classified elsewhere
B81.4,Mixed intestinal helminthiases
A44.8,Other forms of bartonellosis
A44.9,"Bartonellosis, unspecified"
B90.2,Sequelae of tuberculosis of bones and joints
B90.0,Sequelae of central nervous system tuberculosis
B90.1,Sequelae of genitourinary tuberculosis
A42.7,Actinomycotic sepsis
B96.29,Other Escherichia coli [E. coli] as the cause of diseases classified elsewhere
B82.9,"Intestinal parasitism, unspecified"
A42.0,Pulmonary actinomycosis
B89,Unspecified parasitic disease
B88.0,Other acariasis
A52.12,Other cerebrospinal syphilis
A36.84,Diphtheritic tubulo-interstitial nephropathy
